Ano,Trimestre,Categoria,Tipo,CNPJ,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,Quantidade total de clientes CCS e SCR,Quantidade de clientes CCS,Quantidade de clientes SCR
2021,2º,Demais bancos e financeiras,Banco/financeira,54403563,BANCO ARBI S.A., ,6,3,2,11,19525,11177,8411
2021,2º,Demais bancos e financeiras,Banco/financeira,15173776,BANCO CAPITAL S.A., ,0,1,0,1,1354,1312,124
2021,2º,Demais bancos e financeiras,Banco/financeira,2992446,BANCO CNH INDUSTRIAL CAPITAL S.A., ,0,0,1,1,27828,1237,26867
2021,2º,Demais bancos e financeiras,Banco/financeira,8357240,BANCO CSF S.A.,"26,30",192,93,73,358,7297674, ,7297674
2021,2º,Demais bancos e financeiras,Banco/financeira,4902979,BANCO DA AMAZONIA S.A., ,2,6,12,20,548402,468836,194802
2021,2º,Demais bancos e financeiras,Banco/financeira,5040481,BANCO DE LAGE LANDEN BRASIL S.A., ,0,0,1,1,36294,3,36292
2021,2º,Demais bancos e financeiras,Banco/financeira,92874270,BANCO DIGIMAIS S.A.,"212,14",79,23,26,128,372393,238155,195709
2021,2º,Demais bancos e financeiras,Banco/financeira,27098060,BANCO DIGIO S.A.,"18,73",30,64,41,135,1601177,827359,1355127
2021,2º,Demais bancos e financeiras,Banco/financeira,13009717,BANCO DO ESTADO DE SERGIPE S.A., ,18,20,14,52,1074923,837994,605860
2021,2º,Demais bancos e financeiras,Banco/financeira,4913711,BANCO DO ESTADO DO PARÁ S.A.,"33,77",30,23,15,68,888326,764874,396722
2021,2º,Demais bancos e financeiras,Banco/financeira,7237373,BANCO DO NORDESTE DO BRASIL S.A., ,27,23,30,80,8679633,8095479,3223472
2021,2º,Demais bancos e financeiras,Banco/financeira,58616418,BANCO FIBRA S.A., ,0,2,3,5,163669,4032,160187
2021,2º,Demais bancos e financeiras,Banco/financeira,62237425,BANCO FIDIS S/A, ,0,2,0,2,5972,183,5807
2021,2º,Demais bancos e financeiras,Banco/financeira,90731688,BANCO FORD S.A., ,0,1,1,2,341,147,205
2021,2º,Demais bancos e financeiras,Banco/financeira,4866275,BANCO INBURSA S.A., ,3,1,3,7,12478,11,12467
2021,2º,Demais bancos e financeiras,Banco/financeira,91884981,BANCO JOHN DEERE S.A., ,1,1,0,2,14199,254,14008
2021,2º,Demais bancos e financeiras,Banco/financeira,59118133,BANCO LUSO BRASILEIRO S.A., ,1,0,0,1,9668,4682,5351
2021,2º,Demais bancos e financeiras,Banco/financeira,78632767,BANCO OURINVEST S.A., ,0,2,0,2,44303,41822,2504
2021,2º,Demais bancos e financeiras,Banco/financeira,61820817,BANCO PAULISTA S.A., ,0,0,2,2,27172,7769,19666
2021,2º,Demais bancos e financeiras,Banco/financeira,795423,BANCO SEMEAR S.A., ,3,4,2,9,282882,3185,279988
2021,2º,Demais bancos e financeiras,Banco/financeira,11970623,BANCO SENFF S.A., ,4,12,4,20,89047,15993,73551
2021,2º,Demais bancos e financeiras,Conglomerado, ,BANCO SICOOB (conglomerado), ,8,11,11,30,4794630,2308218,3042206
2021,2º,Demais bancos e financeiras,Banco/financeira,60518222,BANCO SUMITOMO MITSUI BRASILEIRO S.A., ,0,0,1,1,1063,1023,126
2021,2º,Demais bancos e financeiras,Banco/financeira,7679404,BANCO TOPÁZIO S.A., ,6,3,1,10,36623,15733,22906
2021,2º,Demais bancos e financeiras,Banco/financeira,3215790,BANCO TOYOTA DO BRASIL S.A., ,4,1,8,13,159896,15262,145562
2021,2º,Demais bancos e financeiras,Banco/financeira,17351180,BANCO TRIANGULO S.A., ,15,3,10,28,1995911,293864,1829315
2021,2º,Demais bancos e financeiras,Conglomerado, ,BANESTES (conglomerado), ,27,18,21,66,1333666,1283821,475598
2021,2º,Demais bancos e financeiras,Conglomerado, ,BANRISUL (conglomerado),"37,20",188,365,107,660,5052830,3715613,3951732
2021,2º,Demais bancos e financeiras,Conglomerado, ,BARIGUI (conglomerado), ,16,14,12,42,99110,71651,34901
2021,2º,Top 10 - Bancos e Financeiras,Conglomerado, ,BB (conglomerado),"21,09",1456,1880,1846,5182,69010996,64888224,30699885
2021,2º,Demais bancos e financeiras,Banco/financeira,20443996,"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,0,0,1,1,119246,8,119241
2021,2º,Demais bancos e financeiras,Conglomerado, ,BMG (conglomerado),"101,86",795,669,264,1728,7804650,4171643,5102142
2021,2º,Demais bancos e financeiras,Conglomerado, ,BMW (conglomerado), ,0,0,2,2,27683,25442,21342
2021,2º,Demais bancos e financeiras,Conglomerado, ,BNP PARIBAS (conglomerado),"192,10",456,268,94,818,2373655,11796,2362365
2021,2º,Demais bancos e financeiras,Conglomerado, ,BOFA MERRILL LYNCH (conglomerado), ,0,1,0,1,4484,4477,103
2021,2º,Top 10 - Bancos e Financeiras,Conglomerado, ,BRADESCO (conglomerado),"25,33",2515,4076,3048,9639,99260817,90494990,43726399
2021,2º,Demais bancos e financeiras,Conglomerado, ,BRB (conglomerado),"103,70",182,257,363,802,1754926,1641288,824217
2021,2º,Top 10 - Bancos e Financeiras,Conglomerado, ,BTG PACTUAL/BANCO PAN (conglomerado),"103,44",1301,1352,977,3630,12576773,6775722,7288816
2021,2º,Demais bancos e financeiras,Conglomerado, ,C6 BANK (conglomerado),"433,76",3672,1335,763,5770,8465478,7373617,2346096
2021,2º,Top 10 - Bancos e Financeiras,Conglomerado, ,CAIXA ECONÔMICA FEDERAL (conglomerado),"32,13",4681,5868,5457,16006,145684233,144161902,23113938
2021,2º,Demais bancos e financeiras,Banco/financeira,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,3,5,10,75187,69362,11217
2021,2º,Demais bancos e financeiras,Conglomerado, ,CCB (conglomerado), ,7,111,11,129,216849,3711,213723
2021,2º,Demais bancos e financeiras,Conglomerado, ,CITIBANK (conglomerado), ,0,2,1,3,17853,16946,1807
2021,2º,Demais bancos e financeiras,Conglomerado, ,COLOMBO (conglomerado), ,0,2,0,2,339230,29,339215
2021,2º,Demais bancos e financeiras,Conglomerado, ,CREFISA (conglomerado),"24,89",61,258,35,354,2450772,1373583,1571876
2021,2º,Demais bancos e financeiras,Conglomerado, ,DAYCOVAL (conglomerado),"777,01",1004,530,122,1656,1292129,150778,1171932
2021,2º,Demais bancos e financeiras,Banco/financeira,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,"555,73",89,269,19,377,160147,667,159483
2021,2º,Demais bancos e financeiras,Banco/financeira,36583700,"FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,0,2,3,5554, ,5554
